zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-101132,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,1; 2,18.1.,3242,č.f. 429502,-,-,-,mix francouzsky,mix,,,,no,fr
NFA,p-100026,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,paper box,35 mm,ORWO 205 LN,Ing. Děták,Jaroslav Děták,1; 2,18.1.1990,3242,č.f. 429502,-,-,-,němec. v.,magnetický záznam,verze,,,no,
NFA,p-101434,O hloupém peciválovi,O hloupém peciválovi,O hloupém peciválovi,paper box,35 mm,ORWO 205 LN,-,,1,10.05.89,-,-,-,-,přepisové studio,mix přepis,mix,přepis,,,no,
NFA,p-101433,O hloupém peciválovi 2,O hloupém peciválovi,O hloupém peciválovi,paper box,35 mm,ORWO 205 LN,-,,2,10.05.89,-,-,-,-,přepisové studio,mix přepis,mix,přepis,,,no,
MWA,P202996,O hygieně hlasu,O hygieně hlasu,O hygieně hlasu,paper box,16 mm,ORWO 205 LN,Ing. Děták,Jaroslav Děták,,6.8.1987,3282,,,,,mezmix,mezinárodní pás,,,,no,
NFA,p-100811,O kropenaté slepičce,O kropenaté slepičce,O kropenaté slepičce,paper box,35 mm,ORWO 205 LN,Kacian,Jan Kacian,-,21.12.1989,3241,č.f. 418169,-,35 mm,-,mix,mix,,,,no,
NFA,p-101529,O líném honzovi,O líném honzovi,O líném Honzovi,metal box,35 mm,MB - ORWO (35 mm),Ing. Astrug,Bejnamin Astrug,1; 2,19.12.1983,3242,čf. 420522,-,BA,-,mix,mix,,,,no,
NFA,p-101116,O malence,O malence,O Malence,metal box,35 mm,MB - ORWO (35 mm),-,,1,04.10.1988,-,-,-,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101128,O malence,O malence,O Malence,metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,-,16.6.89,3241,-,-,-,-,mix anglicky kopie,mix,,,,no,en
NFA,p-101543,O malence,O malence,O Malence,metal box,35 mm,MB - ORWO (35 mm),Ing. Kacian,Jan Kacian,-,11.8.89,3241,č.f. 417506,-,-,-,mix německy,mix,,,,no,de
NFA,p-100103,O maryšce a vlčím hrádku,O maryšce a vlčím hrádku,O Maryšce a vlčím hrádku,metal box,35 mm,MB - ORWO (35 mm),s. Lebdušková,,1; 2,3.12.1979,3242,-,studio 2,CPR-I,-,"mezinárodní hudba, ruchy",mezinárodní pás,,,hudba; ruchy,yes,
MWA,P200041,O MARYŠCE A VLČÍM HRÁDKU,O maryšce a vlčím hrádku,O Maryšce a vlčím hrádku,metal can,35 mm,MB - orwo (35 mm),s. Lebduškorá,,1;2,9.12.1979,3242,-,Studio 2,CPR-I,-,"mezinárodní, hudba, ruchy",mezinárodní pás,,,hudba; ruchy,yes,
MWA,P202864,O Matyldě s náhradní hlavou,O Matyldě s náhradní hlavou,O Matyldě s náhradní hlavou,metal can,35 mm,,,#N/A,,16.5.1988,,,,,,mez. mix pás,mezinárodní pás,,,,no,
